order_id,customer_id,product_id,order_date,quantity,price
101,122,370,2023-05-22,3,663.52
102,479,613,2023-09-09,4,338.47
103,619,367,2023-04-06,3,903.79
104,96,388,2023-01-26,2,613.84
105,859,369,2023-04-21,1,247.1
106,414,489,2023-05-03,1,299.02
107,235,667,2023-07-05,1,460.86
108,898,429,2023-06-17,4,165.94
109,62,667,2023-02-20,2,124.8
110,256,297,2023-01-05,3,696.06
111,561,567,2023-03-18,3,436.81
112,905,216,2023-06-09,3,739.91
113,348,479,2023-07-27,3,154.56
114,671,335,2023-09-14,4,629.37
115,124,226,2023-07-24,4,471.14
116,482,552,2023-09-12,2,105.1
117,317,212,2023-01-11,3,567.56
118,504,272,2023-01-08,1,128.66
119,719,333,2023-02-01,4,836.33
120,48,306,2023-01-28,2,650.36
121,409,420,2023-07-25,2,579.12
122,932,573,2023-08-16,4,176.8
123,136,653,2023-05-08,1,323.08
124,201,377,2023-09-12,1,518.23
125,250,482,2023-07-31,3,651.62
126,314,333,2023-08-27,4,224.07
127,869,222,2023-07-26,1,58.42
128,368,663,2023-11-14,4,377.52
129,429,469,2023-10-10,2,508.73
130,830,612,2023-09-02,2,225.21
131,807,361,2023-02-14,2,517.56
132,480,307,2023-04-15,4,371.56
133,314,479,2023-12-14,3,482.34
134,500,553,2023-10-08,3,380.08
135,721,435,2023-08-22,1,647.04
136,355,218,2023-07-08,4,90.75
137,485,442,2023-02-13,3,212.36
138,211,317,2023-08-13,4,461.11
139,704,486,2023-05-22,3,388.48
140,44,482,2023-05-16,2,422.05
141,541,344,2023-06-25,2,813.57
142,571,405,2023-05-22,1,892.02
143,583,239,2023-03-21,2,286.24
144,92,617,2023-03-23,3,844.57
145,265,354,2023-05-15,1,485.85
146,895,376,2023-07-26,1,310.13
147,220,649,2023-12-10,2,986.18
148,902,441,2023-06-26,4,833.56
149,925,622,2023-08-31,2,994.54
150,442,586,2023-02-24,2,209.78
151,401,569,2023-05-21,1,186.65
152,400,334,2023-02-25,2,528.21
153,727,246,2023-01-15,3,656.71
154,991,250,2023-07-04,1,212.51
155,899,366,2023-11-10,2,867.41
156,789,306,2023-03-29,4,555.41
157,576,416,2023-04-07,3,440.39
158,858,346,2023-05-24,4,621.95
159,804,611,2023-01-08,3,653.21
160,490,625,2023-08-03,4,90.64
161,485,272,2023-06-22,2,999.9
162,757,676,2023-08-11,3,395.72
163,470,530,2023-02-09,1,108.47
164,574,473,2023-07-01,1,859.71
165,938,447,2023-09-27,4,993.37
166,844,646,2023-07-06,4,825.54
167,682,613,2023-09-02,4,859.29
168,445,386,2023-11-05,3,644.64
169,269,270,2023-08-19,1,926.21
170,267,662,2023-06-04,2,83.95
171,54,350,2023-06-24,3,778.39
172,528,446,2023-12-02,4,687.17
173,520,462,2023-04-25,1,97.11
174,616,226,2023-11-07,4,566.77
175,59,623,2023-10-27,2,539.31
176,825,340,2023-01-18,2,706.96
177,40,299,2023-09-29,1,123.65
178,237,598,2023-01-12,3,815.01
179,955,478,2023-10-28,2,182.43
180,386,251,2023-07-11,2,447.73
181,606,351,2023-08-20,2,887.22
182,734,632,2023-04-03,2,582.51
183,716,655,2023-08-06,4,410.61
184,650,304,2023-10-05,4,95.79
185,300,634,2023-12-19,3,688.66
186,395,289,2023-10-30,1,987.22
187,207,341,2023-01-29,1,916.21
188,336,413,2023-10-28,1,731.43
189,593,433,2023-03-18,2,150.03
190,730,594,2023-01-09,4,277.47
191,514,383,2023-01-24,4,227.51
192,178,451,2023-01-15,3,387.69
193,396,209,2023-06-13,1,273.74
194,371,279,2023-01-13,4,282.22
195,858,252,2023-12-13,3,635.89
196,791,586,2023-06-21,1,352.77
197,658,609,2023-12-23,2,693.3
198,318,469,2023-11-23,4,950.5
199,736,426,2023-07-19,4,656.55
200,369,251,2023-03-17,1,764.07
201,384,386,2023-06-13,2,764.0
202,62,234,2023-03-02,2,364.17
203,806,491,2023-09-02,4,64.21
204,505,430,2023-06-04,1,102.3
205,239,331,2023-09-14,3,317.96
206,195,690,2023-09-01,4,705.07
207,678,320,2023-06-11,2,911.35
208,963,643,2023-03-09,3,960.86
209,222,526,2023-12-10,1,74.56
210,61,447,2023-10-04,2,990.58
211,129,632,2023-06-10,3,356.37
212,990,392,2023-09-16,4,850.81
213,685,697,2023-11-03,2,221.28
214,992,603,2023-12-01,1,109.75
215,156,523,2023-04-05,2,409.44
216,917,410,2023-09-03,4,865.98
217,378,303,2023-08-09,1,259.78
218,622,529,2023-05-03,4,196.26
219,781,572,2023-07-06,3,914.31
220,923,660,2023-09-19,2,941.42
221,868,333,2023-09-30,4,61.92
222,903,523,2023-03-01,3,741.06
223,790,339,2023-05-05,1,343.75
224,586,321,2023-12-03,1,405.97
225,999,294,2023-12-07,3,495.65
226,437,652,2023-02-20,3,455.45
227,975,653,2023-06-27,1,539.23
228,207,329,2023-05-19,4,603.24
229,388,291,2023-11-23,3,492.32
230,480,292,2023-06-19,4,716.49
231,791,263,2023-02-08,1,732.67
232,887,229,2023-03-10,4,468.34
233,838,410,2023-08-24,4,185.34
234,984,212,2023-02-17,3,658.61
235,340,533,2023-02-26,4,784.31
236,869,497,2023-10-04,4,656.2
237,340,330,2023-12-04,4,608.65
238,204,493,2023-04-09,1,267.94
